consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,51620,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:32Z,2021-07-16T19:30:32Z,9
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,54726,TCP,Allowed,Allowed,Consumer,2021-07-16T02:31:33Z,2021-07-16T23:31:33Z,145
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,54726,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:32Z,2021-07-16T23:30:33Z,152
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,57098,TCP,Allowed,Allowed,Consumer,2021-07-16T02:31:38Z,2021-07-16T23:31:39Z,53
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,57098,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:32Z,2021-07-16T23:30:39Z,74
FILE A | INFRZZSTRUCTURE | PROD | GZZRZZPZZN,INFRZZSTRUCTURE,PROD,GZZRZZPZZN,FILE A | INFRZZSTRUCTURE | PROD | GZZRZZPZZN,INFRZZSTRUCTURE,PROD,GZZRZZPZZN,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T09:02:28Z,2021-07-16T11:56:00Z,45
FILE A | INFRZZSTRUCTURE | PROD | GZZRZZPZZN,INFRZZSTRUCTURE,PROD,GZZRZZPZZN,FILE A | INFRZZSTRUCTURE | PROD | GZZRZZPZZN,INFRZZSTRUCTURE,PROD,GZZRZZPZZN,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T09:04:35Z,2021-07-16T12:05:32Z,60
FILE A | INFRZZSTRUCTURE | PROD | LOC-ZZ,INFRZZSTRUCTURE,PROD,LOC-ZZ,FILE A | INFRZZSTRUCTURE | PROD | LOC-ZZ,INFRZZSTRUCTURE,PROD,LOC-ZZ,Unicast,8530,TCP,Allowed,Allowed,Consumer,2021-07-16T11:21:00Z,2021-07-16T12:58:33Z,4
FILE A | INFRZZSTRUCTURE | PROD | LOC-ZZ,INFRZZSTRUCTURE,PROD,LOC-ZZ,FILE A | INFRZZSTRUCTURE | PROD | LOC-ZZ,INFRZZSTRUCTURE,PROD,LOC-ZZ,Unicast,8530,TCP,Allowed,Allowed,Provider,2021-07-16T00:13:05Z,2021-07-16T20:38:09Z,19
FILE A | INFRZZSTRUCTURE | PROD | MZZJURO,INFRZZSTRUCTURE,PROD,MZZJURO,FILE A | INFRZZSTRUCTURE | PROD | MZZJURO,INFRZZSTRUCTURE,PROD,MZZJURO,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T10:03:50Z,2021-07-16T11:00:21Z,4
FILE A | INFRZZSTRUCTURE | PROD | MZZJURO,INFRZZSTRUCTURE,PROD,MZZJURO,FILE A | INFRZZSTRUCTURE | PROD | MZZJURO,INFRZZSTRUCTURE,PROD,MZZJURO,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T10:59:55Z,2021-07-16T12:55:51Z,13
FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T09:04:54Z,2021-07-16T09:04:54Z,4
FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T09:02:00Z,2021-07-16T09:02:38Z,4
FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,FILE A | INFRZZSTRUCTURE | PROD | YZZP,INFRZZSTRUCTURE,PROD,YZZP,Unicast,8530,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:53Z,2021-07-16T23:13:24Z,12
FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Broadcast,9909,UDP,Allowed,Allowed,Provider,2021-07-16T00:01:19Z,2021-07-16T23:31:11Z,153
FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Multicast,0,IGMP,Allowed,Allowed,Provider,2021-07-16T00:03:44Z,2021-07-16T23:30:55Z,416
FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Multicast,9909,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:01:19Z,2021-07-16T23:31:11Z,153
JUMPBOX | VENDOR | PROD | ON PREgIOM,VENDOR,PROD,ON PREgIOM,JUMPBOX | VENDOR | PROD | ON PREgIOM,VENDOR,PROD,ON PREgIOM,Multicast,1900,UDP,Allowed,Allowed,Provider,2021-07-16T00:03:56Z,2021-07-16T23:03:31Z,138
